n,BestCase,AverageCase,WorstCase
100,350,145,157
200,123,151,94
300,65,89,71
400,68,90,63
500,67,95,67
600,69,97,69
700,67,99,74
800,71,102,73
900,73,102,75
1000,81,106,77
1100,81,128,93
1200,82,114,82
1300,85,110,92
1400,88,114,94
1500,90,112,91
1600,84,120,82
1700,88,111,98
1800,92,121,86
1900,101,124,108
2000,98,126,98
2100,125,133,134
2200,100,133,115
2300,102,236,126
2400,136,225,202
2500,120,609,573
2600,325,382,281
2700,245,213,223
2800,202,703,151
2900,1396,365,65839
3000,475,387,313
3100,788,391,1202
3200,259,250,211
3300,272,253,251
3400,145,228,178
3500,209,194,177
3600,231,1527,368
3700,483,386,195
3800,422,229,151
3900,138,163,140
4000,126,165,134
4100,162,160,134
4200,180,165,140
4300,153,171,138
4400,135,166,138
4500,128,175,131
4600,125,167,134
4700,194,172,188
4800,128,159,129
4900,119,167,132
5000,124,160,135
5100,130,184,136
5200,220,230,161
5300,145,213,173
5400,151,217,146
5500,203,197,187
5600,136,211,145
5700,197,296,149
5800,180,230,213
5900,181,206,191
6000,252,210,193
6100,188,226,208
6200,119,162,122
6300,85,110,80
6400,71,92,68
6500,58,91,60
6600,52,96,55
6700,51,92,72
6800,53,92,58
6900,59,134,64
7000,84,106,66
7100,54,104,64
7200,67,95,77
7300,51,99,87
7400,77,109,91
7500,57,106,82
7600,58,96,61
7700,58,106,79
7800,64,96,69
7900,54,105,65
8000,71,99,92
8100,73,105,65
8200,58,109,68
8300,53,110,76
8400,73,115,83
8500,96,112,102
8600,64,123,67
8700,69,95,69
8800,47,124,61
8900,57,113,71
9000,61,100,80
9100,63,120,90
9200,63,105,86
9300,77,100,83
9400,61,97,75
9500,73,105,76
9600,63,107,85
9700,59,116,83
9800,91,113,82
9900,73,132,124
10000,74,95,69
10100,76,108,67
10200,73,105,62
10300,71,106,198
10400,72,101,67
10500,56,101,71
10600,58,115,74
10700,100,111,75
10800,57,106,70
10900,57,99,71
11000,89,138,108
11100,61,126,79
11200,57,103,65
11300,52,119,70
11400,55,103,70
11500,57,104,68
11600,61,104,67
11700,53,106,69
11800,61,101,69
11900,58,112,88
12000,62,105,71
12100,58,104,67
12200,58,104,71
12300,57,104,80
12400,56,103,67
12500,56,102,64
12600,58,104,68
12700,60,104,69
12800,61,105,69
12900,59,117,77
13000,56,105,78
13100,61,105,71
13200,64,108,65
13300,58,120,75
13400,62,107,70
13500,59,113,71
13600,64,107,74
13700,59,104,70
13800,60,107,69
13900,59,104,67
14000,58,105,80
14100,63,106,75
14200,60,133,79
14300,75,122,88
14400,83,131,88
14500,97,130,125
14600,82,112,111
14700,62,106,72
14800,60,126,78
14900,62,108,76
15000,58,106,70
15100,62,113,74
15200,64,114,79
15300,63,114,72
15400,62,109,74
15500,64,111,79
15600,64,111,82
15700,64,123,78
15800,63,109,77
15900,67,111,85
16000,60,115,75
16100,62,111,76
16200,64,115,75
16300,61,111,73
16400,71,142,111
16500,203,133,138
16600,70,109,83
16700,64,110,83
16800,71,110,81
16900,91,119,102
17000,79,115,90
17100,67,124,102
17200,68,114,80
17300,66,112,88
17400,66,209,114
17500,149,140,120
17600,96,127,110
17700,94,175,109
17800,109,153,134
17900,118,124,113
18000,70,114,95
18100,89,117,91
18200,69,112,85
18300,71,126,110
18400,105,119,120
18500,73,112,82
18600,69,116,79
18700,71,115,84
18800,72,113,86
18900,87,115,86
19000,66,113,80
19100,66,118,78
19200,95,112,78
19300,65,115,83
19400,66,113,82
19500,70,110,82
19600,65,113,80
19700,67,114,82
19800,67,136,103
19900,105,117,77
20000,71,113,85
20100,66,114,80
20200,68,117,82
20300,72,120,81
20400,66,128,139
20500,72,115,84
20600,71,113,89
20700,86,119,96
20800,71,117,82
20900,69,114,86
21000,69,121,86
21100,69,115,83
21200,94,116,83
21300,78,118,109
21400,84,114,81
21500,91,117,126
21600,71,119,79
21700,78,115,84
21800,74,114,89
21900,79,116,88
22000,81,128,105
22100,74,116,83
22200,69,118,85
22300,73,143,82
22400,67,115,86
22500,75,119,87
22600,69,115,86
22700,72,119,84
22800,373,120,261
22900,96,119,96
23000,85,137,114
23100,75,138,85
23200,71,117,86
23300,73,116,87
23400,71,116,88
23500,73,120,88
23600,75,117,85
23700,68,122,87
23800,67,118,88
23900,101,119,88
24000,74,126,86
24100,73,116,88
24200,70,119,87
24300,74,119,87
24400,70,119,85
24500,77,117,87
24600,85,118,85
24700,72,116,84
24800,78,120,87
24900,78,119,88
25000,75,157,94
25100,76,115,91
25200,78,119,90
25300,91,116,100
25400,75,121,90
25500,102,121,148
25600,245,142,153
25700,136,152,155
25800,121,116,127
25900,78,125,86
26000,77,124,84
26100,80,213,109
26200,104,126,106
26300,78,128,95
26400,90,124,90
26500,126,131,93
26600,101,126,174
26700,77,126,127
26800,73,142,103
26900,144,216,203
27000,130,173,135
27100,363,156,161
27200,124,166,172
27300,107,207,137
27400,195,155,170
27500,138,1580,161
27600,129,150,123
27700,197,194,150
27800,409,275,441
27900,214,201,178
28000,204,219,189
28100,184,224,191
28200,314,603,445
28300,459,335,451
28400,497,410,664
28500,1297,726,883
28600,762,653,816
28700,931,743,867
28800,1007,735,944
28900,891,773,871
29000,872,427,624
29100,861,904,756
29200,606,400,452
29300,197,422,228
29400,616,747,553
29500,598,574,696
29600,566,504,625
29700,800,513,583
29800,579,528,545
29900,571,516,555
30000,573,513,606
30100,576,574,539
30200,627,520,552
30300,552,524,483
30400,630,431,533
30500,538,403,568
30600,590,796,566
30700,525,494,548
30800,598,508,546
30900,605,542,557
31000,565,499,542
31100,557,537,551
31200,591,500,571
31300,566,524,537
31400,584,520,565
31500,667,516,555
31600,534,620,563
31700,539,514,540
31800,557,566,538
31900,497,508,586
32000,517,498,538
32100,546,475,568
32200,528,492,544
32300,570,491,508
32400,575,502,558
32500,573,448,539
32600,580,482,543
32700,614,464,522
32800,494,526,476
32900,617,516,577
33000,597,551,597
33100,649,559,585
33200,671,569,525
33300,579,519,562
33400,593,518,561
33500,644,546,586
33600,641,503,520
33700,648,562,520
33800,573,504,547
33900,631,577,598
34000,685,536,579
34100,615,560,583
34200,602,618,553
34300,651,582,562
34400,620,578,566
34500,578,547,626
34600,577,541,563
34700,584,491,581
34800,687,489,447
34900,578,419,428
35000,465,396,399
35100,421,404,395
35200,613,435,480
35300,549,489,513
35400,607,596,540
35500,611,506,545
35600,552,543,542
35700,602,522,531
35800,672,527,529
35900,567,447,524
36000,594,507,475
36100,803,296,401
36200,421,352,331
36300,697,649,789
36400,808,451,698
36500,419,182,373
36600,147,136,115
36700,109,137,117
36800,107,136,116
36900,101,152,108
37000,113,135,118
37100,103,133,117
37200,109,183,189
37300,110,210,216
37400,308,221,235
37500,128,139,138
37600,124,132,125
37700,108,140,111
37800,115,133,137
37900,113,138,113
38000,106,134,114
38100,108,143,110
38200,111,144,212
38300,111,142,115
38400,122,145,202
38500,117,147,118
38600,116,132,114
38700,109,134,118
38800,104,155,108
38900,113,126,114
39000,117,162,121
39100,105,135,114
39200,115,146,139
39300,134,193,328
39400,338,323,272
39500,535,204,275
39600,330,204,240
39700,160,138,121
39800,109,181,126
39900,149,134,119
40000,121,137,121
40100,105,136,112
40200,110,132,114
40300,127,136,143
40400,111,145,112
40500,110,136,148
40600,116,134,113
40700,111,138,114
40800,112,138,112
40900,116,134,122
41000,107,141,118
41100,111,142,122
41200,161,144,152
41300,110,138,110
41400,114,136,114
41500,119,135,113
41600,106,130,119
41700,108,142,122
41800,151,134,111
41900,112,133,117
42000,106,135,107
42100,102,134,114
42200,121,137,110
42300,108,133,124
42400,111,141,116
42500,109,136,112
42600,111,137,121
42700,113,147,118
42800,114,134,111
42900,123,163,113
43000,126,134,115
43100,103,162,124
43200,310,140,171
43300,112,276,226
43400,176,289,292
43500,137,188,113
43600,230,212,241
43700,211,211,234
43800,213,215,242
43900,215,220,234
44000,209,221,326
44100,118,137,104
44200,105,136,117
44300,115,173,159
44400,192,139,108
44500,127,143,110
44600,97,134,100
44700,96,133,99
44800,97,140,106
44900,122,136,164
45000,113,148,237
45100,104,139,104
45200,109,139,115
45300,110,179,141
45400,107,142,109
45500,96,155,112
45600,102,134,117
45700,102,137,104
45800,106,142,116
45900,113,142,108
46000,105,136,106
46100,93,166,103
46200,334,135,110
46300,113,140,109
46400,99,159,100
46500,95,137,110
46600,96,133,106
46700,99,174,161
46800,101,136,113
46900,111,136,115
47000,105,146,108
47100,96,138,106
47200,100,143,108
47300,96,136,122
47400,105,147,133
47500,95,138,107
47600,99,133,107
47700,95,153,122
47800,113,143,111
47900,94,141,109
48000,103,142,107
48100,115,144,113
48200,104,148,104
48300,123,132,111
48400,103,141,124
48500,100,139,105
48600,108,141,119
48700,115,141,117
48800,115,188,117
48900,271,151,144
49000,148,149,143
49100,171,152,148
49200,115,142,141
49300,126,182,148
49400,126,152,123
49500,129,138,109
49600,108,138,112
49700,106,145,107
49800,111,137,116
49900,110,172,111
50000,120,150,124
